No,자료시점,분류,분류,분류,분류,발생,발생,검거(건),검거(건),검거(계)(명),검거(계)(명),검거(계)(명),검거(계)(명)
No,자료시점,분류,분류,분류,분류,발생건수,발생비,검거건수,검거율,검거(계)(명),남,여,미상
No,자료시점,분류,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
266,2019년,형법범,강력범죄(흉악),성폭력,강간,"5,594",10.82,"5,458",97.56882,"6,490","6,342",115,33
267,2019년,형법범,강력범죄(흉악),성폭력,"강간등(강간,준강간,간음,강제추행,준강제추행)",157,0.30,158,100.63694,293,284,9,0
268,2019년,형법범,강력범죄(흉악),성폭력,강간등살인,2,0.00,2,100,2,2,0,0
269,2019년,형법범,강력범죄(흉악),성폭력,강간등상해,200,0.39,199,99.5,206,205,1,0
270,2019년,형법범,강력범죄(흉악),성폭력,강간등치사,0,0.00,0,0,1,1,0,0
271,2019년,형법범,강력범죄(흉악),성폭력,강간등치상,453,0.88,442,97.57174,516,494,19,3
272,2019년,형법범,강력범죄(흉악),성폭력,강제추행,"15,766",30.49,"15,191",96.35291,"16,680","15,989",638,53
273,2019년,형법범,강력범죄(흉악),성폭력,공중밀집장소 추행,"1,532",2.96,"1,353",88.31593,"1,393","1,376",14,3
274,2019년,형법범,강력범죄(흉악),성폭력,성적목적의 장소침입,685,1.32,646,94.30657,719,709,10,0
275,2019년,형법범,강력범죄(흉악),성폭력,카메라등 이용촬영,"5,893",11.40,"5,569",94.50195,"5,490","5,185",269,36
276,2019년,형법범,강력범죄(흉악),성폭력,통신매체 이용음란,"1,454",2.81,"1,238",85.14443,"1,399","1,311",76,12
277,2019년,형법범,강력범죄(흉악),성폭력,특수강도강간등,42,0.08,42,100,47,46,1,0
278,2019년,형법범,강력범죄(폭력),폭행,폭행,"160,181",309.77,"152,107",94.95945,"215,106","173,545","40,320","1,241"
279,2019년,형법범,강력범죄(폭력),폭행,폭행치사,72,0.14,73,101.38889,98,65,27,6
280,2019년,형법범,강력범죄(폭력),폭행,폭행치상,"1,662",3.21,"1,622",97.59326,"2,187","1,789",389,9
281,2019년,형법범,강력범죄(폭력),약취와 유인,국외이송,1,0.00,1,100,1,1,0,0
282,2019년,형법범,강력범죄(폭력),약취와 유인,부녀매매,1,0.00,1,100,1,0,1,0
283,2019년,형법범,강력범죄(폭력),약취와 유인,수수/은닉,0,0.00,0,0,2,2,0,0
284,2019년,형법범,강력범죄(폭력),약취와 유인,약취/유인,253,0.49,226,89.32806,337,227,107,3
285,2019년,형법범,강력범죄(폭력),약취와 유인,"약취와유인상해,치상,살인,치사",1,0.00,1,100,3,2,1,0
286,2019년,형법범,강력범죄(폭력),약취와 유인,인신매매,4,0.01,3,75,24,13,9,2
287,2019년,형법범,강력범죄(폭력),체포와 감금,감금,"1,394",2.70,"1,304",93.54376,"2,250","1,714",484,52
288,2019년,형법범,강력범죄(폭력),체포와 감금,감금치사,0,0.00,0,0,0,0,0,0
289,2019년,형법범,강력범죄(폭력),체포와 감금,감금치상,89,0.17,85,95.50562,170,143,26,1
290,2019년,형법범,강력범죄(폭력),체포와 감금,체포,105,0.20,63,60,117,61,16,40
291,2019년,형법범,강력범죄(폭력),체포와 감금,체포치사,0,0.00,0,0,0,0,0,0
292,2019년,형법범,강력범죄(폭력),체포와 감금,체포치상,3,0.01,2,66.66667,9,9,0,0
293,2019년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)","폭력행위등(단체등의구성,활동)",169,0.33,161,95.26627,502,436,61,5
294,2019년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","폭력행위등(손괴,강요,주거침입등)",853,1.65,810,94.95897,"3,248","2,396",780,72
