No,자료시점,분류,분류,분류,분류,발생,발생,검거(건),검거(건),검거(계)(명),검거(계)(명),검거(계)(명),검거(계)(명),법인
No,자료시점,분류,분류,분류,분류,발생건수,발생비,검거건수,검거율,검거(계)(명),남,여,미상,법인
No,자료시점,분류,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
126,2016년,형법범,재산범죄,절도,침입절도,"7,358",14.37,"6,221",84.54743137,"3,135","2,964",167,4,0
127,2016년,형법범,재산범죄,사기,사기의 소계[입력치],"250,600",489.28,"203,236",81.09976057,"236,001","181,007","51,405","3,589",815
128,2016년,형법범,재산범죄,사기,보험사기방지특별법,32,0.06,30,93.75,44,35,9,0,0
129,2016년,형법범,재산범죄,사기,부당이득,52,0.10,44,84.61538462,66,50,14,2,0
130,2016년,형법범,재산범죄,사기,사기,"242,530",473.53,"199,194",82.13169505,"231,266","177,546","50,197","3,523",809
131,2016년,형법범,재산범죄,사기,전기통신금융사기피해금환급에관한특별법,"2,687",5.25,"1,416",52.6981764,"1,584","1,095",469,20,0
132,2016년,형법범,재산범죄,사기,컴퓨터등사용사기,"5,072",9.90,"2,396",47.23974763,"2,838","2,125",670,43,3
133,2016년,형법범,재산범죄,사기,편의시설부정이용,227,0.44,156,68.72246696,203,156,46,1,3
134,2016년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],강력범죄(흉악)의 계[입력치],"32,963",64.36,"31,668",96.07135273,"33,529","32,188","1,156",185,5
135,2016년,형법범,강력범죄(흉악),살인,살인의 소계[입력치],948,1.85,936,98.73417722,"1,043",866,146,31,3
136,2016년,형법범,강력범죄(흉악),살인,살인(기수),344,0.67,333,96.80232558,372,278,73,21,3
137,2016년,형법범,강력범죄(흉악),살인,"살인(미수, 예비, 음모, 방조)",604,1.18,603,99.83443709,671,588,73,10,0
138,2016년,형법범,강력범죄(흉악),강도,강도의 소계[입력치],"1,181",2.31,"1,195",101.1854361,"1,846","1,566",172,108,0
139,2016년,형법범,강력범죄(흉악),강도,강도,733,1.43,741,101.0914052,"1,182",949,128,105,0
140,2016년,형법범,강력범죄(흉악),강도,강도강간/강제추행,16,0.03,20,125,18,18,0,0,0
141,2016년,형법범,강력범죄(흉악),강도,강도살인,21,0.04,22,104.7619048,25,24,1,0,0
142,2016년,형법범,강력범죄(흉악),강도,강도상해,382,0.75,383,100.2617801,595,553,39,3,0
143,2016년,형법범,강력범죄(흉악),강도,강도치사,2,0.00,1,50,1,1,0,0,0
144,2016년,형법범,강력범죄(흉악),강도,강도치상,27,0.05,28,103.7037037,25,21,4,0,0
145,2016년,형법범,강력범죄(흉악),방화,방화의 소계[입력치],"1,477",2.88,"1,340",90.72444144,"1,351","1,129",221,1,1
146,2016년,형법범,강력범죄(흉악),방화,방화치사,15,0.03,13,86.66666667,13,12,1,0,0
147,2016년,형법범,강력범죄(흉악),방화,방화치상,25,0.05,23,92,26,22,4,0,0
148,2016년,형법범,강력범죄(흉악),방화,일반방화,"1,437",2.81,"1,304",90.74460682,"1,312","1,095",216,1,1
149,2016년,형법범,강력범죄(흉악),성폭력,성폭력의 소계[입력치],"29,357",57.32,"28,197",96.04864257,"29,289","28,627",617,45,1
150,2016년,형법범,강력범죄(흉악),성폭력,간음,267,0.52,263,98.50187266,335,328,6,1,0
151,2016년,형법범,강력범죄(흉악),성폭력,강간,"5,145",10.05,"5,071",98.5617104,"5,729","5,655",65,9,0
152,2016년,형법범,강력범죄(흉악),성폭력,"강간등(강간,준강간,간음,강제추행,준강제추행)",192,0.37,195,101.5625,279,272,6,1,0
153,2016년,형법범,강력범죄(흉악),성폭력,강간등살인,6,0.01,6,100,7,7,0,0,0
154,2016년,형법범,강력범죄(흉악),성폭력,강간등상해,201,0.39,204,101.4925373,219,218,1,0,0
155,2016년,형법범,강력범죄(흉악),성폭력,강간등치사,2,0.00,2,100,1,1,0,0,0
156,2016년,형법범,강력범죄(흉악),성폭력,강간등치상,535,1.04,517,96.63551402,566,559,7,0,0
157,2016년,형법범,강력범죄(흉악),성폭력,강제추행,"14,339",28.00,"13,768",96.01785341,"14,348","13,983",344,21,0
158,2016년,형법범,강력범죄(흉악),성폭력,공중밀집장소 추행,"1,773",3.46,"1,654",93.28821207,"1,688","1,674",11,3,0
159,2016년,형법범,강력범죄(흉악),성폭력,성적목적의 장소침입,477,0.93,448,93.92033543,440,438,1,1,0
160,2016년,형법범,강력범죄(흉악),성폭력,카메라등 이용촬영,"5,249",10.25,"4,968",94.64659935,"4,508","4,385",117,6,1
161,2016년,형법범,강력범죄(흉악),성폭력,통신매체 이용음란,"1,115",2.18,"1,044",93.632287,"1,115","1,053",59,3,0
162,2016년,형법범,강력범죄(흉악),성폭력,특수강도강간등,56,0.11,57,101.7857143,54,54,0,0,0
163,2016년,형법범,강력범죄(폭력),폭행,폭행의 소계[입력치],"172,071",335.96,"163,367",94.94162293,"236,505","195,133","39,733","1,639",6
164,2016년,형법범,강력범죄(폭력),폭행,폭행,"170,277",332.46,"161,620",94.9159311,"234,232","193,222","39,386","1,624",6
165,2016년,형법범,강력범죄(폭력),폭행,폭행치사,71,0.14,69,97.18309859,78,63,13,2,0
166,2016년,형법범,강력범죄(폭력),폭행,폭행치상,"1,723",3.36,"1,678",97.38827626,"2,195","1,848",334,13,0
167,2016년,형법범,강력범죄(폭력),상해,상해의 소계[입력치],"55,761",108.87,"54,261",97.30994781,"83,069","69,454","13,391",224,5
168,2016년,형법범,강력범죄(폭력),상해,상해,"55,692",108.74,"54,193",97.30841054,"82,975","69,373","13,379",223,5
169,2016년,형법범,강력범죄(폭력),상해,상해치사,69,0.13,68,98.55072464,94,81,12,1,0
170,2016년,형법범,강력범죄(폭력),약취와 유인,악취와 유인의 소계[입력치],203,0.40,193,95.07389163,297,212,71,14,0
171,2016년,형법범,강력범죄(폭력),약취와 유인,국외이송,0,0.00,0,0,0,0,0,0,0
172,2016년,형법범,강력범죄(폭력),약취와 유인,부녀매매,0,0.00,0,0,0,0,0,0,0
173,2016년,형법범,강력범죄(폭력),약취와 유인,수수/은닉,0,0.00,0,0,0,0,0,0,0
174,2016년,형법범,강력범죄(폭력),약취와 유인,약취/유인,194,0.38,184,94.84536082,288,207,67,14,0
175,2016년,형법범,강력범죄(폭력),약취와 유인,"약취와유인상해,치상,살인,치사",1,0.00,1,100,1,1,0,0,0
176,2016년,형법범,강력범죄(폭력),약취와 유인,인신매매,8,0.02,8,100,8,4,4,0,0
177,2016년,형법범,강력범죄(폭력),체포와 감금,체포와 감금의 소계[입력치],"1,579",3.08,"1,482",93.85687144,"2,622","2,002",509,111,3
178,2016년,형법범,강력범죄(폭력),체포와 감금,감금,"1,417",2.77,"1,336",94.28369795,"2,340","1,767",465,108,3
179,2016년,형법범,강력범죄(폭력),체포와 감금,감금치사,0,0.00,0,0,0,0,0,0,0
180,2016년,형법범,강력범죄(폭력),체포와 감금,감금치상,102,0.20,97,95.09803922,173,140,31,2,0
181,2016년,형법범,강력범죄(폭력),체포와 감금,체포,55,0.11,46,83.63636364,102,89,12,1,0
182,2016년,형법범,강력범죄(폭력),체포와 감금,체포치사,0,0.00,0,0,0,0,0,0,0
183,2016년,형법범,강력범죄(폭력),체포와 감금,체포치상,5,0.01,3,60,7,6,1,0,0
184,2017년,형법범,재산범죄,절도,절도의 소계[입력치],"184,355",358.93,"114,263",61.97987578,"106,656","80,917","25,269",470,12
