통계년도,범죄종류,발생건수,발생비,검거건수,검거율(%),남자,여자,미상
2016년,"폭력행위등(단체등의구성,활동)",190,0.37,190,100.0,569,32,0
2016년,"폭력행위등(손괴,강요,주거침입등)",878,1.71,835,95.103,2396,617,47
2017년,불법사용,548,1.07,450,82.117,645,29,0
2017년,절도,176994,344.6,107802,60.907,77177,25024,467
2017년,침입절도,6813,13.26,6011,88.228,3095,216,3
2017년,부당이득,59,0.11,34,57.627,50,19,5
2017년,사기,233203,454.04,185556,79.568,165912,46783,3585
2017년,전기통신금융사기피해금환급에관한특별법,2348,4.57,1239,52.768,992,380,13
2017년,컴퓨터등사용사기,4085,7.95,1703,41.689,1651,412,26
2017년,편의시설부정이용,713,1.39,530,74.334,537,116,14
2017년,살인(기수),287,0.56,286,99.652,263,63,9
2017년,"살인(미수, 예비, 음모, 방조)",571,1.11,561,98.249,525,78,48
2017년,강도,623,1.21,627,100.642,761,81,6
2017년,강도강간/강제추행,19,0.04,21,110.526,19,0,2
2017년,강도살인,26,0.05,26,100.0,27,4,0
2017년,강도상해,303,0.59,302,99.67,501,59,11
2017년,강도치사,0,0.0,0,0.0,0,0,0
2017년,강도치상,19,0.04,17,89.474,25,1,0
2017년,방화치사,12,0.02,10,83.333,11,2,0
2017년,방화치상,22,0.04,20,90.909,20,4,0
2017년,간음,268,0.52,265,98.881,320,6,1
2017년,강간,5287,10.29,5181,97.995,5883,79,13
2017년,"강간등(강간,준강간,간음,강제추행,준강제추행)",144,0.28,141,97.917,184,3,0
2017년,강간등살인,7,0.01,7,100.0,7,0,0
2017년,강간등상해,223,0.43,217,97.309,222,3,0
2017년,강간등치사,0,0.0,0,0.0,0,0,0
2017년,강간등치상,493,0.96,486,98.58,517,9,0
2017년,강제추행,15981,31.11,15389,96.296,15911,474,29
2017년,공중밀집장소 추행,2085,4.06,1936,92.854,1954,12,2
2017년,성적목적의 장소침입,422,0.82,404,95.735,397,4,0
2017년,카메라등 이용촬영,6615,12.88,6366,96.236,5291,167,49
2017년,통신매체 이용음란,1265,2.46,1155,91.304,1176,72,9
2017년,특수강도강간등,34,0.07,38,111.765,43,0,0
2017년,폭행,163858,319.03,155857,95.117,186274,39144,1453
2017년,폭행치사,61,0.12,60,98.361,54,14,2
2017년,폭행치상,1579,3.07,1532,97.023,1698,356,4
2017년,국외이송,0,0.0,0,0.0,0,0,0
2017년,부녀매매,0,0.0,0,0.0,0,0,0
2017년,수수/은닉,0,0.0,0,0.0,1,0,0
2017년,약취/유인,213,0.41,196,92.019,201,86,4
2017년,"약취와유인상해,치상,살인,치사",0,0.0,0,0.0,0,0,0
2017년,인신매매,3,0.01,3,100.0,7,0,0
2017년,감금,1547,3.01,1470,95.023,1933,471,55
2017년,감금치사,1,0.0,1,100.0,1,0,0
2017년,감금치상,121,0.24,123,101.653,141,31,0
2017년,체포,56,0.11,45,80.357,92,14,12
2017년,체포치사,0,0.0,0,0.0,0,0,0
2017년,체포치상,3,0.01,4,133.333,18,3,0
2017년,"폭력행위등(단체등의구성,활동)",140,0.27,129,92.143,582,20,16
2017년,"폭력행위등(손괴,강요,주거침입등)",843,1.64,783,92.883,2326,571,90
2018년,불법사용,586,1.14,456,77.816,629,37,3
2018년,절도,170757,330.88,101365,59.362,70198,23938,472
2018년,침입절도,6115,11.85,5387,88.095,2805,215,8
2018년,부당이득,71,0.14,53,74.648,52,22,9
2018년,사기,271139,525.4,202172,74.564,176239,51716,4069
2018년,전기통신금융사기피해금환급에관한특별법,1479,2.87,961,64.976,675,310,12
2018년,컴퓨터등사용사기,2468,4.78,1560,63.209,1268,309,23
2018년,편의시설부정이용,821,1.59,655,79.781,675,124,8
2018년,살인(기수),326,0.63,307,94.172,286,70,70
2018년,"살인(미수, 예비, 음모, 방조)",523,1.01,501,95.793,445,89,135
2018년,강도,537,1.04,528,98.324,628,86,42
2018년,강도강간/강제추행,24,0.05,26,108.333,17,0,0
2018년,강도살인,19,0.04,18,94.737,22,3,0
2018년,강도상해,240,0.47,236,98.333,355,40,92
2018년,강도치사,1,0.0,1,100.0,6,0,0
2018년,강도치상,20,0.04,21,105.0,26,3,0
2018년,방화치사,16,0.03,13,81.25,12,4,0
2018년,방화치상,19,0.04,17,89.474,18,1,0
2018년,간음,318,0.62,309,97.17,358,11,3
2018년,강간,5508,10.67,5397,97.985,6030,102,49
2018년,"강간등(강간,준강간,간음,강제추행,준강제추행)",182,0.35,183,100.549,262,8,1
2018년,강간등살인,4,0.01,5,125.0,6,0,0
2018년,강간등상해,214,0.41,213,99.533,219,1,0
2018년,강간등치사,4,0.01,4,100.0,5,0,0
2018년,강간등치상,441,0.85,432,97.959,466,4,1
2018년,강제추행,15672,30.37,15068,96.146,15734,564,56
2018년,공중밀집장소 추행,1609,3.12,1468,91.237,1492,7,5
