room_sigudong,room_number,longitude,latitude,security_score,security_fac,room_area,room_contract,building_type,room_price,URL
서울특별시 관악구 봉천동,11781687,126.94158663019,37.4797928663176,20,현관보안 / CCTV / 인터폰 / 비디오폰 / 방범창,19.83,전세,단독주택,9500,https://www.peterpanz.com/house/11781687
서울특별시 관악구 신림동,11781668,126.908219709523,37.4834011920729,16,현관보안 / CCTV / 방범창,26.44,월세,단독주택,500/59,https://www.peterpanz.com/house/11781668
서울특별시 송파구 가락동,11781667,127.12425020678,37.503425841761,12,현관보안 / 인터폰 / 비디오폰,48.27,전세,공동주택,3억,https://www.peterpanz.com/house/11781667
서울특별시 관악구 신림동,11781662,126.92456129836,37.483448385379,20,현관보안 / CCTV / 인터폰 / 비디오폰 / 방범창,23.14,전세,단독주택,1억5000,https://www.peterpanz.com/house/11781662
서울특별시 동작구 노량진동,11781652,126.944704282102,37.5102526302826,1,-,143.64,매매,단독주택,14억7000,https://www.peterpanz.com/house/11781652
서울특별시 금천구 독산동,11781646,126.89194961963,37.4669017522972,17,현관보안 / CCTV / 인터폰 / 비디오폰,22.74,전세,공동주택,2억5900,https://www.peterpanz.com/house/11781646
서울특별시 관악구 봉천동,11781644,126.94712189701,37.4796267141751,13,현관보안 / CCTV / 인터폰,16.53,전세,제2종 근린생활시설,1억,https://www.peterpanz.com/house/11781644
서울특별시 강서구 화곡동,11781625,126.83945295991,37.529544870072,15,현관보안 / CCTV / 비디오폰,29.36,전세,공동주택,2억4800,https://www.peterpanz.com/house/11781625
서울특별시 구로구 가리봉동,11781613,126.88958514886,37.482102216333,28,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창 / 자체경비원,21.48,전세,단독주택,1억2000,https://www.peterpanz.com/house/11781613
서울특별시 성북구 석관동,11781609,127.05252122925,37.6061639591677,13,현관보안 / CCTV,35.95,전세,공동주택,2억9500,https://www.peterpanz.com/house/11781609
서울특별시 관악구 신림동,11781605,126.92236809193,37.481786776909,1,-,60.45,전세,단독주택,2억7000,https://www.peterpanz.com/house/11781605
서울특별시 관악구 신림동,11781597,126.91932015342,37.47383994553,27,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창 / 자체경비원,75,월세,업무시설,4000/80,https://www.peterpanz.com/house/11781597
서울특별시 구로구 구로동,11781596,126.89938697285,37.4820673558183,13,현관보안 / CCTV / 인터폰,19.83,월세,제2종 근린생활시설,100/24,https://www.peterpanz.com/house/11781596
서울특별시 동작구 신대방동,11781589,126.90844886633,37.489190711492,14,현관보안 / CCTV / 인터폰,21.33,전세,단독주택,6500,https://www.peterpanz.com/house/11781589
서울특별시 강서구 화곡동,11781586,126.843597525867,37.5469980976621,15,현관보안 / CCTV / 비디오폰,35.1,전세,공동주택,2억6500,https://www.peterpanz.com/house/11781586
서울특별시 금천구 독산동,11781558,126.888520538616,37.4692764240472,20,현관보안 / CCTV / 인터폰 / 자체경비원,19.83,전세,제2종 근린생활시설,1억,https://www.peterpanz.com/house/11781558
서울특별시 광진구 화양동,11781557,127.06751810477,37.5439216698866,7,인터폰 / 방범창,42.97,월세,단독주택,500/65,https://www.peterpanz.com/house/11781557
서울특별시 광진구 화양동,11781548,127.066034157312,37.543769789672,7,인터폰 / 방범창,21.48,월세,단독주택,1000/40,https://www.peterpanz.com/house/11781548
서울특별시 관악구 봉천동,11781547,126.947066471345,37.48078664841,13,현관보안 / CCTV / 인터폰,23.14,전세,제2종 근린생활시설,1억4000,https://www.peterpanz.com/house/11781547
서울특별시 광진구 화양동,11781541,127.067355633768,37.5429386823117,14,현관보안 / CCTV / 비디오폰,19.8,월세,단독주택,1000/50,https://www.peterpanz.com/house/11781541
서울특별시 중랑구 면목동,11781538,127.086861972216,37.5793893634769,15,현관보안 / 자체경비원,19.83,월세,공동주택,1000/40,https://www.peterpanz.com/house/11781538
서울특별시 성북구 장위동,11781529,127.053252937201,37.6106100141752,17,현관보안 / CCTV / 인터폰 / 비디오폰,23.57,전세,공동주택,1억8000,https://www.peterpanz.com/house/11781529
서울특별시 광진구 화양동,11781524,127.068047218087,37.5420500805413,9,현관보안 / 인터폰,18.18,월세,단독주택,500/40,https://www.peterpanz.com/house/11781524
서울특별시 강서구 화곡동,11781516,126.86049066062,37.536988890384,17,현관보안 / CCTV / 인터폰 / 비디오폰,63.59,전세,공동주택,1억3000,https://www.peterpanz.com/house/11781516
서울특별시 광진구 화양동,11781513,127.067717131146,37.542278853868,14,현관보안 / CCTV / 인터폰,19.83,월세,단독주택,3000/30,https://www.peterpanz.com/house/11781513
서울특별시 강서구 화곡동,11781510,126.83807263752,37.531521385883,15,현관보안 / CCTV / 인터폰 / 비디오폰,33.86,전세,제2종 근린생활시설,1억1500,https://www.peterpanz.com/house/11781510
서울특별시 은평구 신사동,11781503,126.910502797585,37.5965481464528,15,현관보안 / CCTV / 인터폰,41.51,매매,공동주택,3억8000,https://www.peterpanz.com/house/11781503
