No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),미상
No,자료시점,분류,분류,분류,계,남자(소계),6세이하,12세이하,15세이하,20세이하,30세이하,40세이하,50세이하,60세이하,60세초과,미상,여자(소계),6세이하,12세이하,15세이하,20세이하,30세이하,40세이하,50세이하,60세이하,60세초과,미상,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
57,2018년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",164,67,0,0,5,8,22,15,9,5,2,1,15,0,0,1,4,3,2,1,2,2,0,82
58,2018년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",769,464,0,4,12,16,41,87,101,130,71,2,206,0,1,5,7,22,28,49,60,34,0,99
59,2018년,형법범,강력범죄(폭력),폭행,"164,500","88,301",88,517,"1,574","9,282","19,646","13,753","15,436","17,434","10,449",122,"53,060",61,159,927,"4,068","10,368","10,537","11,592","9,755","5,561",32,"23,139"
60,2018년,형법범,강력범죄(폭력),협박,"17,777","8,262",0,44,87,393,"1,337","1,886","1,757","1,679","1,058",21,"8,310",1,62,153,481,"1,261","1,549","2,064","1,788",945,6,"1,205"
61,2019년,형법범,강력범죄(흉악),강도,845,419,1,3,9,36,90,80,59,59,77,5,368,0,1,1,30,98,44,57,80,55,2,58
62,2019년,형법범,강력범죄(흉악),방화,"1,345",600,0,0,0,6,39,82,153,174,144,2,472,0,0,1,7,17,44,129,134,140,0,273
63,2019년,형법범,강력범죄(흉악),살인,847,429,6,1,0,15,45,60,104,99,98,1,326,13,5,1,6,29,40,68,80,84,0,92
64,2019년,형법범,강력범죄(흉악),성폭력,"32,029","2,079",23,156,120,327,679,294,241,155,61,23,"28,138",134,"1,062","1,299","5,351","10,860","3,796","2,554","1,810",754,518,"1,812"
65,2019년,형법범,강력범죄(폭력),공갈,"5,574","4,223",2,49,516,785,698,636,695,524,303,15,857,0,17,69,100,115,94,156,176,127,3,494
66,2019년,형법범,강력범죄(폭력),상해,"40,306","21,713",18,94,618,"1,883","4,003","3,277","4,067","4,451","3,251",51,"12,911",17,23,215,795,"1,931","2,281","2,672","2,858","2,107",12,"5,682"
67,2019년,형법범,강력범죄(폭력),약취와 유인,260,71,27,26,9,5,0,1,0,0,3,0,170,24,61,20,25,23,6,4,5,2,0,19
68,2019년,형법범,강력범죄(폭력),체포와 감금,"1,591",474,1,2,31,115,65,46,71,68,72,3,948,2,3,22,106,238,186,197,134,58,2,169
69,2019년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",169,74,0,1,6,10,15,15,8,15,4,0,16,0,0,3,2,0,3,1,5,2,0,79
70,2019년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",853,499,0,2,10,17,50,75,116,122,104,3,259,0,1,6,11,29,36,58,68,50,0,95
71,2019년,형법범,강력범죄(폭력),폭행,"161,915","83,527",124,590,"1,649","7,959","19,104","12,873","14,233","16,303","10,566",126,"53,712",62,197,870,"3,768","10,191","11,096","11,496","9,895","6,123",14,"24,676"
72,2019년,형법범,강력범죄(폭력),협박,"21,648","9,869",5,48,135,489,"1,664","2,232","2,070","1,880","1,332",14,"10,234",1,58,172,556,"1,552","1,972","2,408","2,150","1,357",8,"1,545"
