No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,아파트연립다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
47,2017년,형법범,강력범죄(폭력),폭행,"165,498","11,949","8,380",132,"60,975","2,561",576,"1,079","12,419","2,818",456,431,57,574,299,761,103,"1,204",649,55,"1,075",242,175,78,39,154,2,"58,255"
48,2017년,형법범,강력범죄(폭력),협박,"16,007","1,811","1,688",112,"5,026",271,65,74,709,596,38,36,8,21,8,31,7,58,74,14,103,40,30,5,3,18,4,"5,157"
49,2018년,형법범,강력범죄(흉악),강도,841,78,85,0,252,137,1,80,58,23,3,2,1,3,1,9,1,5,1,15,2,3,4,2,0,0,0,75
50,2018년,형법범,강력범죄(흉악),방화,"1,478",349,347,0,223,35,26,27,67,49,20,12,13,4,2,5,0,11,8,4,20,13,17,1,0,0,1,224
51,2018년,형법범,강력범죄(흉악),살인,849,214,192,1,128,17,2,28,58,26,5,4,3,2,0,11,2,4,1,1,17,3,9,1,1,0,1,118
52,2018년,형법범,강력범죄(흉악),성폭력,"32,104","3,679","3,030",27,"3,928","1,049",336,"3,397","4,018",690,46,18,18,"1,249","1,545","1,359",112,323,581,19,318,78,50,2,18,47,3,"6,164"
53,2018년,형법범,강력범죄(폭력),공갈,"4,823",273,347,3,940,139,64,102,292,354,19,26,1,19,4,17,3,45,80,44,22,8,12,1,2,7,0,"1,999"
54,2018년,형법범,강력범죄(폭력),상해,"43,666","5,070","3,946",43,"15,459",905,465,785,"7,213","1,534",417,335,44,191,61,198,71,469,592,22,462,221,139,36,11,113,9,"4,855"
55,2018년,형법범,강력범죄(폭력),약취와 유인,199,26,11,0,83,1,3,4,2,4,0,0,0,5,0,3,0,1,15,0,3,0,1,0,0,0,0,37
56,2018년,형법범,강력범죄(폭력),체포와 감금,"1,494",223,156,7,311,21,11,122,85,78,5,1,2,7,0,95,2,3,10,1,42,15,4,1,1,3,0,288
57,2018년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",164,7,2,0,56,4,4,1,25,3,0,0,0,1,0,0,0,10,3,0,0,0,0,1,0,0,0,47
58,2018년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",769,141,108,0,102,31,15,32,40,52,13,11,2,2,0,0,1,2,19,0,2,13,12,2,0,1,0,168
59,2018년,형법범,강력범죄(폭력),폭행,"164,500","21,862","14,834",165,"63,415","4,750","1,746","2,337","23,513","3,840",747,706,82,"1,219",591,"2,275",169,"1,451",915,110,"1,676",528,233,76,59,176,16,"17,009"
60,2018년,형법범,강력범죄(폭력),협박,"17,777","3,304","2,717",93,"5,080",476,130,183,"1,282",770,59,38,9,50,16,83,15,76,101,20,160,55,39,9,6,25,3,"2,978"
61,2019년,형법범,강력범죄(흉악),강도,845,106,89,1,221,115,8,79,53,21,1,0,3,4,1,8,0,7,0,4,6,1,7,0,0,0,1,109
62,2019년,형법범,강력범죄(흉악),방화,"1,345",352,298,0,237,25,27,46,55,46,16,6,6,4,1,2,3,10,9,2,12,7,29,0,0,0,4,148
63,2019년,형법범,강력범죄(흉악),살인,847,228,174,0,145,9,1,27,49,14,5,1,0,3,0,5,0,9,1,0,25,1,17,3,0,0,1,129
64,2019년,형법범,강력범죄(흉악),성폭력,"32,029","4,127","2,790",20,"3,909","1,125",308,"3,556","4,281",659,62,20,17,"1,132","1,541","1,271",123,331,585,15,396,86,43,3,17,34,2,"5,576"
65,2019년,형법범,강력범죄(폭력),공갈,"5,574",294,371,2,973,152,55,97,459,390,15,19,0,12,3,20,2,55,81,29,33,7,9,1,4,8,1,"2,482"
66,2019년,형법범,강력범죄(폭력),상해,"40,306","5,242","3,652",53,"14,175",814,459,745,"7,020","1,400",340,268,34,184,64,241,51,429,587,22,415,128,148,25,15,98,7,"3,690"
67,2019년,형법범,강력범죄(폭력),약취와 유인,260,41,26,0,102,3,0,11,8,3,0,0,0,3,0,3,0,5,16,1,3,1,0,1,0,0,0,33
68,2019년,형법범,강력범죄(폭력),체포와 감금,"1,591",253,158,6,325,15,12,130,77,88,5,1,2,6,2,100,2,6,9,2,40,10,3,0,0,0,0,339
69,2019년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",169,9,1,0,66,2,3,2,20,24,0,2,0,0,0,0,0,5,5,0,1,1,0,0,0,0,0,28
70,2019년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",853,173,138,0,122,25,11,54,42,56,16,16,0,0,0,0,2,3,38,2,4,19,12,0,0,0,0,120
71,2019년,형법범,강력범죄(폭력),폭행,"161,915","25,373","15,367",185,"60,830","4,438","1,746","2,236","22,858","3,685",715,613,88,"1,203",591,"2,170",209,"1,532",933,106,"1,683",425,221,64,58,159,16,"14,411"
72,2019년,형법범,강력범죄(폭력),협박,"21,648","4,462","3,401",101,"6,420",548,156,212,"1,548",822,69,60,10,43,16,100,10,107,128,28,178,48,50,12,3,24,2,"3,090"
