No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,남자(계),여자(계),정상(소계),정상(소계),정상(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),주취(소계),주취(소계),주취(소계),월경시이상,미상
No,자료시점,분류,분류,분류,계,남자(계),여자(계),정상(소계),정상(남),정상(여),정신장애(소계),정신이상(소계),정신이상(남),정신이상(여),정신박약(소계),정신박약(남),정신박약(여),기타정신장애(소계),기타정신장애(남),기타정신장애(여),주취(소계),주취(남),주취(여),월경시이상,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
47,2017년,형법범,강력범죄(폭력),폭행,"227,540","188,026","39,514","61,865","48,558","13,307","1,188",481,300,181,74,58,16,633,420,213,"57,944","50,642","7,302",1,"106,542"
48,2017년,형법범,강력범죄(폭력),협박,"17,236","15,311","1,925","7,917","7,036",881,247,109,83,26,4,4,0,134,103,31,"4,139","3,905",234,0,"4,933"
49,2018년,형법범,강력범죄(흉악),강도,"1,186","1,054",132,826,725,101,32,12,10,2,5,5,0,15,14,1,182,172,10,0,146
50,2018년,형법범,강력범죄(흉악),방화,"1,360","1,137",223,511,428,83,133,58,35,23,14,13,1,61,44,17,586,512,74,0,130
51,2018년,형법범,강력범죄(흉악),살인,890,731,159,369,301,68,59,31,22,9,5,5,0,23,19,4,299,268,31,0,163
52,2018년,형법범,강력범죄(흉악),성폭력,"32,709","31,737",972,"15,969","15,496",473,514,98,94,4,171,168,3,245,240,5,"9,145","8,991",154,0,"7,081"
53,2018년,형법범,강력범죄(폭력),공갈,"5,318","4,530",788,"3,571","3,112",459,15,3,1,2,1,1,0,11,9,2,200,188,12,0,"1,532"
54,2018년,형법범,강력범죄(폭력),상해,"64,923","54,000","10,923","30,822","24,457","6,365",486,213,152,61,40,27,13,233,174,59,"26,648","23,798","2,850",0,"6,967"
55,2018년,형법범,강력범죄(폭력),약취와 유인,263,178,85,152,109,43,5,2,2,0,0,0,0,3,0,3,23,20,3,0,83
56,2018년,형법범,강력범죄(폭력),체포와 감금,"2,405","1,929",476,"1,295","1,035",260,6,4,2,2,0,0,0,2,1,1,184,177,7,0,920
57,2018년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",967,934,33,657,647,10,0,0,0,0,0,0,0,0,0,0,67,51,16,0,243
58,2018년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","2,720","2,063",657,"1,715","1,274",441,0,0,0,0,0,0,0,0,0,0,261,231,30,0,744
59,2018년,형법범,강력범죄(폭력),폭행,"219,919","180,870","39,049","62,980","49,266","13,714",936,339,208,131,120,88,32,477,323,154,"54,459","47,385","7,074",1,"101,543"
60,2018년,형법범,강력범죄(폭력),협박,"19,056","16,626","2,430","8,231","7,105","1,126",210,84,60,24,17,13,4,109,82,27,"4,617","4,324",293,0,"5,998"
61,2019년,형법범,강력범죄(흉악),강도,"1,389","1,221",168,"1,080",946,134,25,11,10,1,1,1,0,13,9,4,111,107,4,0,173
62,2019년,형법범,강력범죄(흉악),방화,"1,290","1,079",211,495,415,80,136,62,52,10,10,10,0,64,44,20,484,421,63,0,175
63,2019년,형법범,강력범죄(흉악),살인,914,759,155,344,278,66,55,30,25,5,1,0,1,24,16,8,295,272,23,0,220
64,2019년,형법범,강력범죄(흉악),성폭력,"33,410","32,256","1,154","16,036","15,539",497,489,89,84,5,202,198,4,198,189,9,"9,304","9,101",203,0,"7,581"
65,2019년,형법범,강력범죄(폭력),공갈,"5,286","4,486",800,"3,637","3,140",497,13,4,3,1,2,1,1,7,7,0,183,170,13,0,"1,453"
66,2019년,형법범,강력범죄(폭력),상해,"59,449","48,952","10,497","28,065","22,085","5,980",479,197,150,47,45,34,11,237,172,65,"24,387","21,506","2,881",0,"6,518"
67,2019년,형법범,강력범죄(폭력),약취와 유인,363,245,118,181,128,53,5,3,2,1,0,0,0,2,0,2,25,23,2,0,152
68,2019년,형법범,강력범죄(폭력),체포와 감금,"2,453","1,927",526,"1,268","1,039",229,10,5,3,2,1,1,0,4,4,0,206,191,15,0,969
69,2019년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",497,436,61,386,334,52,1,0,0,0,0,0,0,1,1,0,19,17,2,0,91
70,2019년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","3,176","2,396",780,"1,951","1,477",474,0,0,0,0,0,0,0,0,0,0,227,202,25,0,998
71,2019년,형법범,강력범죄(폭력),폭행,"216,135","175,399","40,736","65,157","50,578","14,579","1,135",449,297,152,132,85,47,554,359,195,"52,621","45,163","7,458",3,"97,219"
72,2019년,형법범,강력범죄(폭력),협박,"23,241","20,195","3,046","9,893","8,540","1,353",344,126,95,31,25,21,4,193,155,38,"5,574","5,188",386,0,"7,430"
